====================================================================================================
ALL MACHINES - SYNCHRONIZING SEQUENCE DETECTION RESULTS
====================================================================================================

Total Execution Time: 502.31 seconds
Total Machines Generated: 900
Machines with SS: 890
Machines without SS: 10

====================================================================================================

Machine      States   Has SS     SS Length    Time (s)     Synchronizing Sequence
Machine358   40       YES        17           0.054002     1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1
Machine359   40       YES        15           0.014005     1 0 0 0 0 1 1 0 1 1 0 1 1 0 1
Machine360   40       YES        18           0.158171     1 1 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 0
Machine361   40       YES        18           0.009154     0 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1 0
Machine362   40       YES        15           0.009002     0 0 0 1 0 1 0 0 0 0 0 0 1 0 0
Machine363   40       YES        14           0.011999     0 0 0 1 0 1 1 0 0 1 0 1 0 1
Machine364   40       YES        12           0.008023     0 0 0 0 0 0 1 0 0 1 1 0
Machine365   40       YES        15           0.049161     1 0 0 1 0 0 1 0 1 0 0 0 0 0 0
Machine366   40       YES        17           0.047002     0 0 1 0 0 1 0 0 1 1 1 1 1 0 1 0 1
Machine367   40       YES        16           0.018713     1 0 1 0 1 0 1 1 0 1 1 0 1 1 0 1
Machine368   40       YES        14           0.012997     1 0 0 0 0 1 1 1 0 0 1 1 0 1
Machine369   40       YES        15           0.018804     0 0 0 1 0 1 0 0 0 0 1 1 0 0 0
Machine370   40       YES        13           0.009002     1 1 1 1 1 1 1 1 1 1 1 1 1
Machine371   40       YES        20           0.138135     1 1 0 1 1 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1
Machine372   40       YES        17           0.026004     0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 0 1
Machine373   40       YES        14           0.016060     0 1 1 0 1 1 1 0 1 1 0 0 0 1
Machine374   40       YES        20           0.340118     1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 0 1
Machine375   40       YES        16           0.069180     0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 0
Machine376   40       YES        19           0.136335     1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1 0
Machine377   40       YES        13           0.007998     1 0 0 0 0 1 0 0 1 0 1 0 0
Machine378   40       YES        17           0.008001     0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0
Machine379   40       YES        16           0.039007     1 0 1 0 0 0 0 0 1 1 1 1 1 0 0 0
Machine380   40       YES        11           0.005999     0 0 0 1 0 0 0 0 0 0 0
Machine381   40       YES        12           0.006999     0 0 0 0 0 0 1 1 0 1 0 1
Machine382   40       YES        15           0.016000     0 1 1 0 1 1 0 1 1 0 1 0 1 0 1
Machine383   40       YES        10           0.003997     1 1 1 0 1 1 0 0 0 0
Machine384   40       YES        13           0.019000     0 0 1 1 1 1 1 0 1 0 1 1 0
Machine385   40       YES        15           0.025008     1 1 0 1 0 0 1 0 1 0 1 1 1 0 1
Machine386   40       YES        20           0.182194     0 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1
Machine387   40       YES        21           0.433635     0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0
Machine388   40       YES        10           0.004242     0 1 1 1 1 1 1 1 0 0
Machine389   40       YES        17           0.026323     1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 1 0
Machine390   40       YES        14           0.015540     0 1 0 0 0 0 1 0 0 0 0 1 0 1
Machine391   40       YES        11           0.003093     0 0 1 0 0 0 1 0 0 1 0
Machine392   40       YES        13           0.012526     1 0 1 0 1 0 1 0 0 0 1 0 1
Machine393   40       YES        16           0.029505     0 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1
Machine394   40       YES        14           0.006330     0 0 1 1 1 0 1 0 1 0 1 1 1 0
Machine395   40       YES        17           0.060737     0 0 0 0 1 1 1 1 1 0 1 0 1 0 1 0 0
Machine396   40       YES        15           0.024020     0 1 0 1 0 0 0 0 0 1 1 1 1 0 0
Machine397   40       YES        18           0.078588     1 1 1 0 1 0 0 1 1 1 0 1 1 1 0 0 0 0
Machine398   40       YES        18           0.064649     0 1 0 1 0 1 1 0 0 1 0 1 1 0 1 1 0 0
Machine399   40       YES        18           0.071103     0 0 1 1 0 1 1 0 1 1 0 1 0 1 0 1 0 0
Machine400   40       YES        16           0.098929     0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0
Machine401   40       YES        12           0.002494     1 0 0 0 0 1 1 1 0 1 0 1
Machine402   40       YES        16           0.009265     0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0
Machine403   40       YES        13           0.011996     0 0 0 1 0 1 0 1 0 1 0 1 0
Machine404   40       YES        20           0.232810     1 1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0
Machine405   40       YES        18           0.062287     1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 0 0 0
Machine406   40       YES        13           0.037434     1 1 1 1 1 1 1 1 1 1 1 1 1
Machine407   40       YES        13           0.013041     0 1 1 1 1 1 0 0 0 1 1 1 1
Machine408   40       YES        14           0.025331     1 1 1 0 0 1 1 1 1 1 1 0 0 0
Machine409   40       YES        15           0.039279     0 0 1 1 1 1 1 1 0 0 0 0 0 0 0
Machine410   40       YES        18           0.130337     0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 0
Machine411   40       YES        12           0.010917     0 1 1 0 1 0 0 0 1 0 1 0
Machine412   40       YES        14           0.031409     0 1 0 1 0 1 0 1 0 1 0 0 0 0
Machine413   40       NO         N/A          N/A          N/A
Machine414   40       YES        18           0.122391     0 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 0 1
Machine415   40       NO         N/A          N/A          N/A
Machine416   40       YES        16           0.020534     0 0 1 1 0 0 0 1 0 1 1 1 1 0 0 0
Machine417   40       YES        14           0.010003     0 0 1 0 0 1 0 0 1 0 0 1 0 0
Machine418   40       YES        10           0.001384     0 1 0 1 0 1 0 1 1 0
Machine419   40       YES        15           0.023379     0 0 1 0 1 0 0 0 0 0 1 0 1 1 1
Machine420   40       YES        15           0.042063     0 0 1 1 1 1 0 0 1 1 1 1 1 0 1
Machine421   40       YES        17           0.050846     0 1 1 0 1 0 0 1 1 1 0 1 0 0 1 0 1
Machine422   40       YES        12           0.006229     0 0 0 0 1 0 0 0 0 0 0 0
Machine423   40       YES        13           0.012671     1 1 1 0 1 1 0 1 1 0 1 1 0
Machine424   40       YES        15           0.015542     0 0 0 0 1 0 1 1 1 0 1 1 1 0 1
Machine425   40       YES        18           0.101975     0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine426   40       YES        15           0.011359     0 0 0 1 0 1 0 0 0 1 1 0 1 1 1
Machine427   40       YES        15           0.015285     1 0 0 0 1 0 1 1 1 0 1 1 1 0 1
Machine428   40       YES        18           0.012473     0 0 0 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1
Machine429   40       YES        14           0.016926     1 1 1 0 1 1 1 0 0 1 1 1 0 0
Machine430   40       YES        19           0.339216     0 1 0 0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0
Machine431   40       YES        19           0.089802     0 1 0 1 0 1 0 0 1 0 0 0 1 1 1 1 0 1 0
Machine432   40       YES        14           0.009519     0 0 0 1 1 0 1 0 0 0 0 1 0 1
Machine433   40       YES        14           0.010230     0 1 0 1 0 0 1 0 1 0 0 1 1 1
Machine434   40       YES        14           0.011758     0 1 0 1 0 0 1 0 1 0 1 1 1 0
Machine435   40       YES        14           0.010989     0 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine436   40       YES        13           0.008016     1 0 1 0 0 1 0 0 1 0 0 1 0
Machine437   40       YES        21           0.465030     0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1
Machine438   40       YES        16           0.020579     0 0 1 1 0 1 1 0 1 1 0 0 1 0 1 0
Machine439   40       YES        15           0.027804     1 1 1 1 0 1 1 1 0 1 0 1 1 0 0
Machine440   40       YES        13           0.009306     1 1 1 0 0 0 0 1 1 1 1 0 1
Machine441   40       YES        12           0.006410     0 0 0 1 0 0 0 0 0 0 1 0
Machine442   40       YES        8            0.001243     0 0 0 0 0 0 0 0
Machine443   40       YES        11           0.004125     0 0 0 0 0 0 0 1 1 1 0
Machine444   40       YES        13           0.012382     0 1 1 0 0 1 1 0 0 0 0 0 1
Machine445   40       YES        14           0.008425     0 0 0 1 0 1 1 1 0 1 1 1 0 1
Machine446   40       YES        17           0.101978     1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1
Machine447   40       YES        15           0.036464     1 0 0 1 1 1 0 0 0 1 0 1 1 0 0
Machine448   40       YES        14           0.020336     1 1 1 0 0 1 1 0 0 0 1 1 1 0
Machine449   40       YES        11           0.001009     0 0 0 0 0 0 1 0 1 0 1
Machine450   40       YES        12           0.007011     0 1 1 0 0 0 0 0 0 0 0 0
Machine451   40       YES        21           0.036015     0 0 0 0 0 1 1 0 0 0 1 0 0 1 1 0 1 1 0 0 0
Machine452   40       YES        16           0.052553     1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 0
Machine453   40       YES        14           0.016998     0 0 0 1 0 0 0 1 0 0 0 1 0 0
Machine454   40       YES        13           0.005012     0 0 0 0 0 1 0 0 0 0 0 0 0
Machine455   40       YES        18           0.199791     0 0 1 0 1 0 0 1 0 1 1 1 1 1 0 0 1 0
Machine456   40       YES        17           0.039127     0 0 1 1 1 1 1 1 1 0 1 0 0 0 1 0 0
Machine457   40       YES        14           0.017999     0 0 0 1 0 1 0 1 0 1 0 1 0 1
Machine458   40       YES        14           0.019998     0 0 0 0 0 0 0 0 0 0 1 1 1 1
Machine459   40       YES        10           0.004000     0 0 0 1 0 0 0 1 1 1
Machine460   40       YES        17           0.054559     0 1 1 0 0 0 1 0 1 0 1 0 1 0 1 0 1
Machine461   40       YES        16           0.015000     0 0 0 1 0 1 0 0 1 0 1 1 1 1 1 1
Machine462   40       YES        14           0.009009     0 0 0 0 1 0 1 1 0 1 1 0 0 1
Machine463   40       YES        17           0.116569     0 0 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1
Machine464   40       YES        17           0.037560     0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1 0
Machine465   40       YES        18           0.043026     1 1 1 1 1 0 0 1 1 1 0 1 0 1 0 0 1 1
Machine466   40       YES        13           0.011022     1 1 1 1 0 1 1 1 1 0 1 0 0
Machine467   40       YES        11           0.003012     0 0 1 1 0 1 0 1 0 1 0
Machine468   40       YES        22           2.608948     1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 0 1 0
Machine469   40       YES        16           0.056017     1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 0
Machine470   40       YES        17           0.067994     0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0
Machine471   40       YES        17           0.065530     0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1
Machine472   40       YES        14           0.009999     0 0 1 1 0 0 0 0 0 0 0 0 0 0
Machine473   40       YES        14           0.028544     0 0 1 0 0 1 1 1 1 0 1 1 0 1
Machine474   40       YES        15           0.017016     0 0 0 1 0 1 0 1 0 1 0 1 0 1 0
Machine475   40       YES        18           0.045002     1 0 0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 1
Machine476   40       YES        12           0.002998     0 0 1 0 0 1 1 0 1 1 0 1
Machine477   40       YES        13           0.005013     0 0 0 1 1 1 0 0 1 0 0 0 1
Machine478   40       YES        13           0.009010     1 1 0 1 0 1 0 1 0 1 0 1 0
Machine479   40       YES        17           0.028997     0 0 0 1 1 1 1 0 0 1 0 1 0 1 1 1 1
Machine480   40       YES        17           0.041002     0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0
Machine481   40       YES        12           0.008004     1 1 0 0 0 0 0 0 1 0 0 0
Machine482   40       YES        13           0.003999     1 0 0 0 1 1 0 0 1 1 0 0 1
Machine483   40       YES        19           0.117571     1 1 0 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1
Machine484   40       YES        15           0.011999     1 0 1 0 1 1 0 1 0 1 1 1 1 1 0
Machine485   40       YES        16           0.031267     1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0
Machine486   40       YES        17           0.060555     0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0
Machine487   40       YES        14           0.006997     1 1 0 1 1 1 0 1 0 0 1 0 1 1
Machine488   40       YES        15           0.019002     0 0 0 1 1 1 0 0 1 0 0 1 1 1 0
Machine489   40       YES        14           0.012026     0 0 1 1 1 1 0 0 0 0 1 1 0 0
Machine490   40       YES        14           0.008154     1 1 0 0 1 0 0 1 0 0 1 0 1 0
Machine491   40       YES        18           0.137944     1 1 0 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1
Machine492   40       YES        19           0.250754     0 1 1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 1
Machine493   40       YES        14           0.011722     1 0 1 1 1 0 0 0 0 1 1 1 0 1
Machine494   40       YES        25           0.236451     0 0 0 1 0 1 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1 1 0 0 0
Machine495   40       YES        22           0.034001     0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1
Machine496   40       YES        12           0.005999     1 1 1 1 1 1 1 1 1 0 1 1
Machine497   40       YES        12           0.003999     0 0 0 1 0 0 1 1 1 1 0 1
Machine498   40       YES        13           0.007000     0 1 0 1 0 1 0 1 0 0 0 1 1
Machine499   40       YES        19           0.061520     0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 1
Machine500   40       YES        16           0.049013     1 1 1 1 0 0 0 1 1 0 0 0 1 1 0 0
Machine501   40       YES        15           0.015513     0 1 0 0 0 0 0 0 1 0 1 1 0 0 0
Machine502   40       YES        11           0.003978     0 1 1 1 1 1 1 1 1 1 1
Machine503   40       YES        15           0.023998     0 0 1 1 0 1 1 0 0 0 1 0 1 1 1
Machine504   40       YES        14           0.009002     0 0 0 1 1 0 1 0 1 1 0 0 0 1
Machine505   40       YES        13           0.004803     0 0 1 1 0 0 1 0 0 1 1 1 0
Machine506   40       YES        16           0.021345     1 0 0 0 1 1 0 0 1 1 1 0 0 0 1 0
Machine507   40       YES        15           0.005007     1 0 1 1 1 1 0 1 1 1 0 1 1 0 1
Machine508   40       YES        13           0.009544     0 0 1 0 0 1 1 0 0 1 1 0 0
Machine509   40       YES        17           0.040962     0 0 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1
Machine510   40       YES        18           0.156546     0 0 0 1 0 1 1 1 0 1 0 0 1 1 1 0 0 1
Machine511   40       YES        14           0.013017     0 1 1 0 1 0 1 1 1 1 1 0 1 1
Machine512   40       YES        20           0.157405     0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1
Machine513   40       YES        15           0.021654     0 0 0 0 0 0 0 0 0 1 1 0 1 1 0
Machine514   40       YES        21           0.388330     1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 0 0 1
Machine515   40       YES        10           0.003024     0 1 1 0 0 0 0 0 1 0
Machine516   40       YES        14           0.023524     0 0 1 1 1 0 0 1 0 1 1 0 1 1
Machine517   40       YES        12           0.006364     1 0 1 1 0 1 1 1 0 0 0 0
Machine518   40       YES        15           0.023244     0 1 1 1 0 0 0 1 1 0 0 0 0 0 0
Machine519   40       YES        12           0.016004     1 0 1 1 1 1 1 1 1 1 1 1
Machine520   40       YES        15           0.035561     0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
Machine521   40       YES        16           0.052996     1 0 1 0 0 1 0 0 1 1 1 0 0 1 0 0
Machine522   40       YES        18           0.267430     0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1
Machine523   40       YES        16           0.059297     0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 1
Machine524   40       YES        15           0.042012     0 1 0 0 1 0 1 1 0 0 0 1 0 0 1
Machine525   40       YES        21           0.202002     0 0 1 0 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1
Machine526   40       YES        19           0.126607     1 0 1 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0
Machine527   40       YES        11           0.007023     0 1 0 0 0 0 0 0 0 0 0
Machine528   40       YES        12           0.010116     1 0 1 1 0 1 1 0 1 1 0 1
Machine529   40       YES        17           0.030061     0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 0 1
Machine530   40       YES        16           0.022526     0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0
Machine531   40       YES        16           0.032998     0 0 0 1 1 0 1 1 1 0 0 1 0 1 1 0
Machine532   40       YES        16           0.030010     1 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0
Machine533   40       YES        17           0.098539     0 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1
Machine534   40       YES        18           0.063010     1 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 1
Machine535   40       YES        11           0.003998     0 1 1 1 1 1 1 0 0 0 0
Machine536   40       YES        17           0.060514     1 0 0 1 1 1 1 0 0 0 1 1 1 1 1 0 1
Machine537   40       YES        15           0.005995     0 1 0 1 0 0 0 1 0 1 0 0 0 1 0
Machine538   40       YES        18           0.059555     0 0 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 0
Machine539   40       YES        14           0.023001     0 1 1 0 0 1 0 1 0 0 0 1 0 0
Machine540   40       YES        21           0.250163     0 1 0 1 1 1 0 0 0 1 1 1 0 1 1 1 0 0 1 0 1
Machine541   40       YES        15           0.044443     1 0 1 0 1 0 1 0 0 1 1 0 0 1 0
Machine542   40       YES        18           0.089002     0 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0 1
Machine543   40       YES        15           0.016003     0 1 1 0 0 1 1 1 1 1 0 0 1 1 0
Machine544   40       YES        15           0.032856     1 1 1 1 1 0 0 1 1 1 0 0 1 1 1
Machine545   40       YES        15           0.018028     1 0 0 0 1 1 0 1 1 0 1 1 1 1 0
Machine546   40       YES        18           0.176178     1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
Machine547   40       YES        14           0.020009     1 1 0 0 0 0 0 0 0 0 0 1 1 1
Machine548   40       YES        15           0.010000     1 0 1 0 1 1 1 1 1 0 0 1 0 0 1
Machine549   40       YES        14           0.017009     0 1 1 0 0 1 1 0 1 1 1 1 1 1
Machine550   40       YES        22           1.395416     1 1 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1
Machine551   40       YES        16           0.031522     0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0
Machine552   40       YES        17           0.077521     0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 1 1
Machine553   40       YES        13           0.013013     0 1 1 0 1 0 0 1 1 0 1 1 0
Machine554   40       YES        15           0.012995     0 0 1 1 1 0 1 0 1 0 1 1 1 1 1
Machine555   40       YES        14           0.009001     1 1 0 1 0 1 0 0 1 0 0 0 0 1
Machine556   40       YES        16           0.039336     0 1 1 0 0 0 0 1 0 0 1 0 0 1 0 0
Machine557   40       YES        13           0.013456     1 0 1 1 1 1 0 1 0 1 0 0 1
Machine558   40       YES        15           0.027002     0 1 1 0 1 1 1 1 1 1 0 1 1 0 0
Machine559   40       YES        21           0.257581     0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0
Machine560   40       YES        16           0.029027     0 0 0 1 0 1 1 1 1 0 0 1 0 1 1 1
Machine561   40       YES        12           0.006344     0 0 0 1 1 1 0 0 1 0 1 1
Machine562   40       YES        15           0.015284     0 1 1 1 0 0 0 0 0 0 1 1 0 0 1
Machine563   40       YES        18           0.144612     0 1 0 0 1 1 1 0 0 1 1 1 0 0 0 0 1 1
Machine564   40       YES        12           0.009860     0 0 0 0 1 0 1 0 0 0 0 0
Machine565   40       YES        19           0.113188     0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 0 1 1
Machine566   40       YES        20           0.344239     0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0
Machine567   40       YES        16           0.047245     0 0 1 0 0 0 1 0 0 0 1 1 1 1 0 0
Machine568   40       YES        21           0.226582     1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
Machine569   40       YES        13           0.004999     0 0 0 0 1 1 0 0 1 0 0 1 0
Machine570   40       YES        12           0.004002     0 0 1 0 1 1 0 1 0 1 0 1
Machine571   40       YES        19           0.161776     0 1 1 0 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0
Machine572   40       YES        8            0.001281     1 0 0 0 0 0 0 0
Machine573   40       YES        16           0.035115     0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0
Machine574   40       YES        15           0.025995     0 1 0 0 1 0 0 0 0 1 0 1 0 0 0
Machine575   40       YES        12           0.009415     1 0 1 0 1 0 0 1 0 0 1 0
Machine576   40       YES        12           0.006996     0 1 0 0 0 0 1 0 0 0 0 1
Machine577   40       YES        14           0.022507     0 0 1 0 1 1 0 0 0 1 1 0 0 0
Machine578   40       YES        11           0.005001     0 0 0 0 0 0 0 0 0 0 0
Machine579   40       YES        17           0.106087     0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 1
Machine580   40       YES        15           0.013463     0 1 0 1 1 0 0 1 0 1 1 1 1 0 1
Machine581   40       YES        10           0.003561     0 0 0 0 0 0 0 0 1 1
Machine582   40       YES        13           0.007998     0 0 1 0 0 0 0 0 1 1 0 1 1
Machine583   40       YES        16           0.030171     0 1 0 0 1 0 0 0 1 1 1 1 1 0 0 0
Machine584   40       YES        16           0.025998     0 1 1 1 0 1 1 0 1 1 0 1 0 0 1 0
Machine585   40       YES        17           0.107605     0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 1 1
Machine586   40       YES        13           0.011501     0 0 1 1 0 0 0 0 0 0 1 1 1
Machine587   40       YES        14           0.012006     1 0 1 1 1 1 0 1 0 1 0 1 1 1
Machine588   40       YES        12           0.011999     1 0 0 0 1 1 0 0 0 0 0 0
Machine589   40       YES        16           0.036999     0 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1
Machine590   40       YES        15           0.024005     0 1 1 0 1 1 0 1 0 1 1 1 1 0 0
Machine591   40       YES        15           0.017999     0 0 0 0 0 0 1 1 0 1 1 1 1 1 0
Machine592   40       YES        15           0.019999     0 1 1 1 0 1 0 0 1 0 1 0 0 0 1
Machine593   40       YES        13           0.007008     0 0 0 1 1 0 1 0 0 0 1 1 0
Machine594   40       YES        12           0.004000     1 0 0 1 1 1 1 1 1 0 1 1
Machine595   40       YES        16           0.052898     0 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1
Machine596   40       YES        15           0.034013     1 1 0 0 0 0 0 1 1 1 1 1 1 1 1
Machine597   40       YES        17           0.054545     0 1 0 1 0 0 0 1 1 1 1 0 0 0 1 0 1
Machine598   40       YES        19           0.121546     0 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0
Machine599   40       YES        15           0.021009     1 1 1 0 1 0 1 0 0 1 0 1 1 0 1
Machine600   40       YES        12           0.008000     0 1 1 0 1 0 1 0 0 1 0 1
Machine601   60       YES        14           0.031557     0 1 0 0 0 1 1 0 0 0 0 0 0 0
Machine602   60       YES        20           1.088458     0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0
Machine603   60       YES        22           0.563365     0 0 1 0 1 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1 0
Machine604   60       YES        24           4.575521     0 0 0 1 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1
Machine605   60       YES        17           0.181815     1 1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0
Machine606   60       YES        18           0.292906     0 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 0
Machine607   60       YES        19           0.250590     0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1
Machine608   60       YES        20           0.571796     0 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0
Machine609   60       YES        18           0.353078     0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 1 0 1
Machine610   60       YES        17           0.081257     0 0 0 1 0 1 1 0 1 0 0 0 1 0 1 1 0
Machine611   60       YES        16           0.098251     0 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1
Machine612   60       YES        23           2.256706     1 1 1 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 1
Machine613   60       YES        14           0.060998     1 1 1 0 0 0 0 1 0 0 0 0 1 1
Machine614   60       YES        19           0.355803     0 1 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 0
Machine615   60       YES        18           0.232204     0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1
Machine616   60       YES        22           1.210255     0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 1 1
Machine617   60       YES        20           0.228691     0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 1 1 0 1 1
Machine618   60       YES        15           0.088293     1 1 0 1 1 1 0 1 1 0 0 1 1 0 1
Machine619   60       YES        15           0.038991     0 0 0 0 0 0 1 0 0 0 1 1 1 1 1
Machine620   60       YES        18           0.094564     0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 1 0 0
Machine621   60       YES        18           0.169303     0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Machine622   60       YES        18           0.496227     1 1 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0
Machine623   60       YES        16           0.226400     0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1
Machine624   60       YES        20           0.858124     1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1
Machine625   60       YES        20           1.313390     1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 1
Machine626   60       YES        19           0.320566     1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0
Machine627   60       YES        21           0.386414     0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0 1
Machine628   60       YES        16           0.090106     0 1 0 1 1 0 1 1 0 0 1 0 1 0 1 1
Machine629   60       YES        18           0.252897     0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 1 1 0
Machine630   60       YES        16           0.105540     0 1 0 1 0 0 1 0 1 0 0 0 1 1 1 0
Machine631   60       YES        19           0.380335     1 0 1 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1
Machine632   60       YES        17           0.150292     1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 1
Machine633   60       YES        19           0.448267     1 0 0 1 0 1 1 0 1 1 1 1 1 0 0 0 0 1 0
Machine634   60       YES        26           29.143955    0 0 0 0 0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 1 0 1
Machine635   60       YES        24           5.178964     0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 0 1 1 1 0 0
Machine636   60       YES        17           0.067608     0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0
Machine637   60       YES        20           0.596050     1 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0
Machine638   60       YES        15           0.041992     0 1 0 1 1 0 1 0 1 0 0 0 1 1 0
Machine639   60       YES        12           0.015982     0 1 1 1 1 1 1 1 1 1 1 1
Machine640   60       YES        20           0.516247     1 0 1 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 1 1
Machine641   60       YES        19           0.322527     0 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1
Machine642   60       YES        22           3.416391     0 0 1 1 1 1 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1
Machine643   60       YES        21           0.459675     0 1 0 0 1 0 0 0 1 1 1 1 0 0 0 1 0 0 0 1 0
